show_id,country
s780,United States
s781,United States
s782,United States
s783,United States
s784,United States
s785,United States
s786,United States
s787,United States
s788,United States
s789,United States
s790,United States
s791,United States
s792,United States
s793,United States
s794,United States
s795,United States
s796,United States
s797,United States
s798,United States
s799,United States
s800,United States
s801,United States
s802,United States
s803,United States
s804,United States
s805,United States
s806,United States
s807,United States
s808,United States
s809,United States
s810,United States
s811,United States
s812,United States
s813,United States
s814,United States
s815,India
s816,United States
s817,United States
s818,United States
s819,United States
s820,United States
s821,United States
s822,United Kingdom
s823,United States
s824,United States
s825,United States
s826,United States
s827,United States
s828,United States
s829,United States
s830,United States
s831,United States
s832,United States
s833,United States
s834,United States
s835,United States
s836,United States
s837,United States
s838,United States
s839,United States
s840,United States
s841,United States
s842,United States
s843,United States
s844,United States
s845,United States
s846,United States
s847,United States
s848,United States
s849,United States
s850,United States
s851,United States
s852,United States
s853,United States
s854,United States
s855,United States
s856,United States
s857,United States
s858,United States
s859,United States
s860,United States
s861,United States
s862,United States
s863,United States
s864,United States
s865,United States
s866,United States
s867,United States
s868,United States
s869,United States
s870,United States
s871,United States
s872,United States
s873,India
s874,United States
s875,United States
s876,United States
s877,United States
s878,United States
s879,United States
s880,United States
s881,United States
s882,United States
s883,United States
s884,United States
s885,United States
s886,United States
s887,United States
s888,United States
s889,United States
s890,United States
s891,United States
s892,United States
s893,United Kingdom
s894,United States
s895,United States
s896,United States
s897,United States
s898,United States
s899,United States
s900,United States
s901,United States
s902,United States
s903,United States
s904,United States
s905,United States
s906,United States
s907,United States
s908,United States
s909,United States
s910,United States
s911,United States
s912,United States
s913,United States
s914,United States
s915,United States
s916,United States
s917,United States
s918,United States
s919,United States
s920,United States
s921,United States
s922,United States
s923,United States
s924,United States
s925,United States
s926,United States
s927,United States
s928,United States
s929,United States
s930,United States
s931,United States
s932,United States
s933,United States
s934,United States
s935,United States
s936,United States
s937,India
s938,India
s939,United States
s940,United States
s941,United States
s942,United States
s943,United States
s944,United States
s945,United States
s946,United States
s947,United States
s948,United States
s949,United States
s950,United States
s951,United States
s952,United States
s953,United States
s954,United States
s955,United States
s956,United States
s957,United States
s958,United States
s959,United States
s960,United States
s961,United States
s962,United States
s963,United States
s964,United States
s965,United States
s966,United States
s967,United States
s968,United States
s969,India
s970,United States
s971,United States
s972,United States
s973,United States
s974,United States
s975,United States
s976,United States
s977,United States
s978,United States
s979,United States
s980,United States
s981,United States
s982,United States
s983,United States
s984,India
s985,Spain
s986,United States
s987,United States
s988,India
s989,United States
s990,United States
s991,United States
s992,United States
s993,United States
s994,United States
s995,United States
s996,United States
s997,United States
s998,United States
s999,United States
s1000,United States
s1001,United States
s1002,United States
s1003,United States
s1004,United States
s1005,United States
s1006,United States
s1007,United States
s1008,United States
s1009,United States
s1010,United States
s1011,United States
s1012,United States
s1013,United States
s1014,United States
s1015,United States
s1016,United States
s1017,United States
s1018,United States
s1019,United States
s1020,United States
s1021,United States
s1022,United States
s1023,United States
s1024,United States
s1025,United States
s1026,United States
s1027,United States
s1028,United States
s1029,United States
s1030,United States
s1031,United States
s1032,United States
s1033,United States
s1034,United States
s1035,United States
s1036,United States
s1037,United States
s1038,United States
s1039,United States
s1040,India
s1041,United States
s1042,United States
s1043,United States
s1044,United States
s1045,Canada
s1046,United States
s1047,India
s1048,United States
s1049,United States
s1050,United States
s1051,United States
s1052,United States
s1053,United States
s1054,United States
s1055,United States
s1056,United States
s1057,United States
s1058,United States
s1059,United States
s1060,United States
s1061,United States
s1062,United States
s1063,United States
s1064,United States
s1065,United States
s1066,United States
s1067,United States
s1068,United States
s1069,United States
s1070,United States
s1071,United States
s1072,United States
s1073,United States
